Date,Price
2017-04-08,1182.9663302000001
2017-04-09,1209.2556879
2017-04-10,1203.1741989
2017-04-11,1228.1995517999999
2017-04-12,1214.2454614
2017-04-13,1174.0587662
2017-04-14,1180.0225668
2017-04-15,1182.99
2017-04-16,1179.9962652000002
2017-04-17,1186.5798597
2017-04-18,1200.8193655999999
2017-04-19,1203.99
2017-04-20,1231.6793211
2017-04-21,1247.2988738
2017-04-22,1249.9989834
2017-04-23,1248.8040725
2017-04-24,1258.8439710999999
2017-04-25,1282.7655684000001
2017-04-26,1298.1331410999999
2017-04-27,1352.7707079000002
2017-04-28,1325.4047248
2017-04-29,1367.3408756
2017-04-30,1381.9581755000002
2017-05-01,1461.9892634000003
2017-05-02,1450.6429609000002
2017-05-03,1511.8445095
2017-05-04,1544.9962067
2017-05-05,1560.1
2017-05-06,1585.8683862
2017-05-07,1599.1748795999997
2017-05-08,1664.7563066
2017-05-09,1714.9683267
2017-05-10,1781.9376796
2017-05-11,1833.9991535999998
2017-05-12,1715.3050807999998
2017-05-13,1774.8090635
2017-05-14,1798.9274533
2017-05-15,1743.9965888
2017-05-16,1759.1199444000001
2017-05-17,1800.5583287999998
2017-05-18,1879.9973217
2017-05-19,1971.6252692000003
2017-05-20,2046.178196
2017-05-21,2046.8027973
2017-05-22,2143.304329
2017-05-23,2244.4483096
2017-05-24,2465.0047956
2017-05-25,2567.2034134
2017-05-26,2282.172041
2017-05-27,2056.4190326
2017-05-28,2221.9919161999997
2017-05-29,2322.9081408
2017-05-30,2210.9891108
2017-05-31,2287.9243496
2017-06-01,2401.4882386
2017-06-02,2436.15
2017-06-03,2548.6643843
2017-06-04,2510.4129834000005
2017-06-05,2663.1773670000002
2017-06-06,2879.2744086
2017-06-07,2663.4974116
2017-06-08,2772.9912097
2017-06-09,2825.3995563000003
2017-06-10,2825.7290481
2017-06-11,2971.9464985
2017-06-12,2679.5889776999998
2017-06-13,2708.9009542
2017-06-14,2461.2552223000002
2017-06-15,2382.4037748000005
2017-06-16,2470.7666052
2017-06-17,2654.2381100000002
2017-06-18,2484.0239258
